pointX,pointY,lineStartX,lineStartY,lineEndX,lineEndY,splitDim
0.038017,1.213598,0.038017,-2.468799,0.038017,2.717116,0.000000
-1.691942,0.023677,-2.746902,0.023677,0.038017,0.023677,1.000000
-0.626674,-0.334238,-0.626674,-2.468799,-0.626674,0.023677,0.000000
-1.208304,-0.567138,-2.746902,-0.567138,-0.626674,-0.567138,1.000000
-0.888878,-0.858599,-0.888878,-2.468799,-0.888878,-0.567138,0.000000
-2.275833,-1.039015,-2.746902,-1.039015,-0.888878,-1.039015,1.000000
-1.528784,-1.127072,-1.528784,-2.468799,-1.528784,-1.039015,0.000000
-2.746902,-1.416743,-2.746902,-1.416743,-1.528784,-1.416743,1.000000
-0.998957,-2.468799,-1.528784,-2.468799,-0.888878,-2.468799,1.000000
-0.983055,-0.584442,-0.983055,-1.039015,-0.983055,-0.567138,0.000000
-1.751666,-0.654390,-2.746902,-0.654390,-0.983055,-0.654390,1.000000
-0.756054,-0.793742,-0.888878,-0.793742,-0.626674,-0.793742,1.000000
-0.675053,-0.854435,-0.675053,-2.468799,-0.675053,-0.793742,0.000000
-0.702383,-1.003546,-0.888878,-1.003546,-0.675053,-1.003546,1.000000
-0.637592,-0.580483,-0.637592,-0.793742,-0.637592,-0.567138,0.000000
-0.881562,-0.568903,-0.888878,-0.568903,-0.637592,-0.568903,1.000000
-1.356695,-0.456735,-1.356695,-0.567138,-1.356695,0.023677,0.000000
-1.563497,-0.065325,-2.746902,-0.065325,-1.356695,-0.065325,1.000000
-1.594900,-0.524715,-1.594900,-0.567138,-1.594900,-0.065325,0.000000
-1.879478,-0.503109,-2.746902,-0.503109,-1.594900,-0.503109,1.000000
-1.517909,-0.223244,-1.594900,-0.223244,-1.356695,-0.223244,1.000000
-1.395863,-0.049306,-1.395863,-0.065325,-1.395863,0.023677,0.000000
-1.816365,-0.029365,-2.746902,-0.029365,-1.395863,-0.029365,1.000000
-0.791968,-0.404335,-1.356695,-0.404335,-0.626674,-0.404335,1.000000
-0.856973,-0.531050,-0.856973,-0.567138,-0.856973,-0.404335,0.000000
-1.286012,-0.421741,-1.356695,-0.421741,-0.856973,-0.421741,1.000000
-0.714834,-0.011465,-0.714834,-0.404335,-0.714834,0.023677,0.000000
-1.117966,-0.401877,-1.356695,-0.401877,-0.714834,-0.401877,1.000000
-0.475163,-0.565870,-0.626674,-0.565870,0.038017,-0.565870,1.000000
-0.235943,-2.141523,-0.235943,-2.468799,-0.235943,-0.565870,0.000000
-0.603188,-0.692152,-0.626674,-0.692152,-0.235943,-0.692152,1.000000
-0.432589,-0.771667,-0.432589,-2.468799,-0.432589,-0.692152,0.000000
-0.589221,-1.206268,-0.626674,-1.206268,-0.432589,-1.206268,1.000000
-0.261800,-1.032208,-0.432589,-1.032208,-0.235943,-1.032208,1.000000
-0.275820,-0.620705,-0.275820,-0.692152,-0.275820,-0.565870,0.000000
-0.584935,-0.638019,-0.626674,-0.638019,-0.275820,-0.638019,1.000000
0.025463,-0.875076,-0.235943,-0.875076,0.038017,-0.875076,1.000000
-0.113971,-1.731817,-0.113971,-2.468799,-0.113971,-0.875076,0.000000
-0.207077,-2.056951,-0.235943,-2.056951,-0.113971,-2.056951,1.000000
0.024650,-0.860003,0.024650,-0.875076,0.024650,-0.565870,0.000000
-0.187298,-0.738272,-0.235943,-0.738272,0.024650,-0.738272,1.000000
-0.314481,-0.059663,-0.314481,-0.565870,-0.314481,0.023677,0.000000
-0.556464,-0.145644,-0.626674,-0.145644,-0.314481,-0.145644,1.000000
-0.329531,-0.471466,-0.329531,-0.565870,-0.329531,-0.145644,0.000000
-0.625894,-0.410124,-0.626674,-0.410124,-0.329531,-0.410124,1.000000
-0.358830,-0.140780,-0.358830,-0.145644,-0.358830,0.023677,0.000000
-0.612079,-0.063987,-0.626674,-0.063987,-0.358830,-0.063987,1.000000
-0.121811,-0.047347,-0.314481,-0.047347,0.038017,-0.047347,1.000000
-0.205614,-0.164801,-0.205614,-0.565870,-0.205614,-0.047347,0.000000
-0.213791,-0.231279,-0.314481,-0.231279,-0.205614,-0.231279,1.000000
-0.004933,-0.004140,-0.004933,-0.047347,-0.004933,0.023677,0.000000
-0.165400,-0.006022,-0.314481,-0.006022,-0.004933,-0.006022,1.000000
-0.706948,1.201103,-0.706948,0.023677,-0.706948,2.717116,0.000000
-0.772089,0.749865,-2.746902,0.749865,-0.706948,0.749865,1.000000
-1.529019,0.343513,-1.529019,0.023677,-1.529019,0.749865,0.000000
-2.056923,0.596757,-2.746902,0.596757,-1.529019,0.596757,1.000000
-1.805754,0.589695,-1.805754,0.023677,-1.805754,0.596757,0.000000
-2.542842,0.053239,-2.746902,0.053239,-1.805754,0.053239,1.000000
-1.779310,0.508842,-1.805754,0.508842,-1.529019,0.508842,1.000000
-2.344694,0.697320,-2.344694,0.596757,-2.344694,0.749865,0.000000
-2.628371,0.654938,-2.746902,0.654938,-2.344694,0.654938,1.000000
-1.287157,0.356473,-1.529019,0.356473,-0.706948,0.356473,1.000000
-0.711450,0.113422,-0.711450,0.023677,-0.711450,0.356473,0.000000
-0.797171,0.055419,-1.529019,0.055419,-0.711450,0.055419,1.000000
-1.099242,0.587223,-1.099242,0.356473,-1.099242,0.749865,0.000000
-1.312719,0.689699,-1.529019,0.689699,-1.099242,0.689699,1.000000
-0.993816,2.060289,-0.993816,0.749865,-0.993816,2.717116,0.000000
-1.526372,1.604149,-2.746902,1.604149,-0.993816,1.604149,1.000000
-1.804772,0.894847,-1.804772,0.749865,-1.804772,1.604149,0.000000
-2.706481,1.086138,-2.746902,1.086138,-1.804772,1.086138,1.000000
-1.569422,2.468020,-1.569422,1.604149,-1.569422,2.717116,0.000000
