rectCenterX,rectCenterY,rectWidth,rectHeight
0.158818,-0.0678545,6.71091,6.23849
-1.51891,1.49177,3.35546,3.11924
-2.35777,2.27158,1.67773,1.55962
-2.77721,2.66148,0.838864,0.779811
-2.77721,1.88167,0.838864,0.779811
-1.93834,2.66148,0.838864,0.779811
-1.93834,1.88167,0.838864,0.779811
-2.35777,0.711956,1.67773,1.55962
-2.77721,1.10186,0.838864,0.779811
-2.77721,0.322051,0.838864,0.779811
-2.98692,0.517004,0.419432,0.389905
-2.98692,0.127098,0.419432,0.389905
-2.56749,0.517004,0.419432,0.389905
-2.56749,0.127098,0.419432,0.389905
-1.93834,1.10186,0.838864,0.779811
-2.14806,1.29681,0.419432,0.389905
-2.14806,0.906909,0.419432,0.389906
-2.25292,1.00439,0.209716,0.194953
-2.25292,0.809433,0.209716,0.194953
-2.0432,1.00439,0.209716,0.194953
-2.0432,0.809433,0.209716,0.194953
-1.72863,1.29681,0.419432,0.389905
-1.72863,0.906909,0.419432,0.389906
-1.93834,0.322051,0.838864,0.779811
-2.14806,0.517004,0.419432,0.389905
-2.14806,0.127098,0.419432,0.389905
-1.72863,0.517004,0.419432,0.389905
-1.72863,0.127098,0.419432,0.389905
-1.83348,0.224575,0.209716,0.194953
-1.83348,0.0296218,0.209716,0.194953
-1.62377,0.224575,0.209716,0.194953
-1.62377,0.0296218,0.209716,0.194953
-0.680046,2.27158,1.67773,1.55962
-1.09948,2.66148,0.838864,0.779811
-1.30919,2.85644,0.419432,0.389905
-1.30919,2.46653,0.419432,0.389905
-0.889762,2.85644,0.419432,0.389905
-0.889762,2.46653,0.419432,0.389905
-1.09948,1.88167,0.838864,0.779811
-1.30919,2.07663,0.419432,0.389905
-1.30919,1.68672,0.419432,0.389905
-0.889762,2.07663,0.419432,0.389905
-0.99462,2.1741,0.209716,0.194953
-0.99462,1.97915,0.209716,0.194953
-0.784904,2.1741,0.209716,0.194953
-0.784904,1.97915,0.209716,0.194953
-0.889762,1.68672,0.419432,0.389905
-0.99462,1.7842,0.209716,0.194953
-0.99462,1.58924,0.209716,0.194953
-0.784904,1.7842,0.209716,0.194953
-0.784904,1.58924,0.209716,0.194953
-0.260614,2.66148,0.838864,0.779811
-0.47033,2.85644,0.419432,0.389905
-0.47033,2.46653,0.419432,0.389905
-0.575188,2.56401,0.209716,0.194953
-0.575188,2.36905,0.209716,0.194953
-0.365472,2.56401,0.209716,0.194953
-0.365472,2.36905,0.209716,0.194953
-0.0508978,2.85644,0.419432,0.389905
-0.0508978,2.46653,0.419432,0.389905
-0.260614,1.88167,0.838864,0.779811
-0.47033,2.07663,0.419432,0.389905
-0.47033,1.68672,0.419432,0.389905
-0.575188,1.7842,0.209716,0.194953
-0.575188,1.58924,0.209716,0.194953
-0.365472,1.7842,0.209716,0.194953
-0.365472,1.58924,0.209716,0.194953
-0.0508978,2.07663,0.419432,0.389905
-0.155756,2.1741,0.209716,0.194953
-0.155756,1.97915,0.209716,0.194953
-0.208185,2.02789,0.104858,0.0974764
-0.208185,1.93041,0.104858,0.0974764
-0.103327,2.02789,0.104858,0.0974764
-0.103327,1.93041,0.104858,0.0974764
0.0539602,2.1741,0.209716,0.194953
