pointX,pointY
0.0223115,0.97351
0.00296053,0.966889
0.021703,0.948111
0.0367807,0.974874
0.0128107,0.934186
0.000424005,0.917983
0.00253407,0.900835
0.0143947,0.895224
0.00858836,0.888006
0.0362792,0.937094
0.0398111,0.8906
0.0569791,0.897652
0.0638877,0.987845
0.0721486,0.948079
0.0656205,0.940516
0.120227,0.99492
0.10429,0.942879
0.0671765,0.911895
0.0656412,0.919693
0.0815377,0.909047
0.0617641,0.822471
0.0281991,0.781358
0.0810323,0.816947
0.0756609,0.841457
0.0636589,0.783589
0.0972771,0.789396
0.12035,0.812439
0.156571,0.944394
0.178954,0.899328
0.192079,0.980787
0.195556,0.96589
0.23017,0.986697
0.242524,0.992916
0.239062,0.975783
0.22327,0.955558
0.232471,0.958136
0.245012,0.958405
0.200322,0.928663
0.194873,0.914254
0.199049,0.897861
0.201542,0.882828
0.188816,0.883178
0.233347,0.933477
0.236935,0.881045
0.222848,0.889318
0.175423,0.827341
0.177835,0.84699
0.139424,0.789264
0.143156,0.783329
0.172715,0.791646
0.166843,0.781182
0.208709,0.854519
0.0146146,0.71217
0.00539244,0.707891
0.0355044,0.71265
0.00112994,0.652309
0.00879022,0.636357
0.01925,0.656456
0.092729,0.69652
0.0945606,0.698337
0.110497,0.692834
0.0762255,0.658432
0.114283,0.673601
0.105632,0.639184
0.00590231,0.509888
0.0292093,0.525791
0.04305,0.522693
0.0339467,0.524813
0.0747551,0.564818
0.0983344,0.614296
0.103059,0.574924
0.113478,0.592963
0.0849799,0.502132
0.115659,0.537315
0.171422,0.705002
0.146661,0.678482
0.154247,0.631736
0.167447,0.685264
0.156643,0.683557
0.180463,0.650353
0.215598,0.723153
0.195758,0.745027
0.21495,0.66251
0.191212,0.656795
0.249064,0.668147
0.138362,0.623241
0.168892,0.603237
0.185731,0.585828
0.145901,0.537457
0.125532,0.559637
0.145494,0.531603
0.160443,0.546474
0.183545,0.539928
0.196901,0.611369
0.18875,0.624166
0.210664,0.614243
0.220935,0.578745
0.190495,0.538508
0.22019,0.524077
0.27653,0.998916
0.266127,0.970642
0.255473,0.966986
0.253747,0.923811
0.264737,0.893067
0.302032,0.935435
0.292485,0.884127
0.29134,0.902216
0.363088,0.97087
0.356056,0.963571
0.348113,0.95304
0.325667,0.91259
0.332079,0.902148
0.336086,0.877478
0.346884,0.924668
0.25275,0.860353
0.256155,0.833503
0.273414,0.818716
0.311531,0.868576
0.273433,0.803329
0.258679,0.76907
0.262341,0.781023
0.273343,0.770412
0.354172,0.858486
0.31426,0.773362
0.343062,0.757358
0.340805,0.764398
0.364953,0.777561
0.344784,0.760476
0.389337,0.969274
0.380578,0.969605
0.40028,0.988995
0.393598,0.946409
0.41589,0.979949
0.405506,0.883654
0.435351,0.918842
0.420095,0.933665
0.4523,0.997632
0.461205,0.956125
0.47517,0.98853
0.462798,0.920933
0.455738,0.898299
0.489025,0.918281
0.488595,0.895657
0.497018,0.895649
0.40378,0.869044
0.383682,0.836035
0.393429,0.827375
0.394595,0.826088
0.399029,0.82625
0.423461,0.813126
0.388444,0.755673
0.385294,0.767117
0.417748,0.810169
0.446344,0.829183
0.439455,0.83797
0.480896,0.817644
0.468588,0.797458
0.438244,0.762287
0.483275,0.808206
0.283387,0.694861
0.2658,0.672365
0.253526,0.665367
0.286203,0.638132
0.360116,0.73367
0.354452,0.743548
0.345691,0.653325
0.339818,0.68498
0.261118,0.625988
0.269694,0.616588
0.266117,0.588393
0.2916,0.573099
0.301556,0.576437
0.281403,0.517412
0.283391,0.515233
0.342933,0.579483
0.35338,0.61703
0.370452,0.615366
0.370044,0.62007
0.335831,0.546807
0.323954,0.554695
0.318488,0.525414
0.334214,0.53126
0.369058,0.527747
0.384215,0.74662
0.420426,0.735361
0.414982,0.693833
0.399127,0.660114
0.391823,0.650076
0.44528,0.735201
0.498671,0.741699
0.498197,0.677078
0.454923,0.656478
0.402077,0.599911
0.389738,0.575955
0.42068,0.582397
0.422747,0.531049
0.415604,0.501638
0.446475,0.580341
0.451612,0.567032
0.456228,0.594296
0.489565,0.558957
0.451225,0.504571
0.0280167,0.4841
0.0451192,0.491976
0.0468294,0.483524
0.0456807,0.450763
0.0273075,0.392304
0.0345355,0.418084
0.0804214,0.473124
0.0763541,0.488293
0.0850822,0.446983
0.0949513,0.488952
0.103426,0.458997
0.104234,0.4688
0.0214178,0.273534
0.0221353,0.275171
0.0622116,0.288434
0.0418505,0.265907
0.0376805,0.254487
0.0730881,0.370004
0.0698101,0.321545
0.0783865,0.322365
0.0900836,0.329988
0.0909835,0.285269
0.0675521,0.280866
0.0649778,0.258237
0.0882559,0.279705
0.148156,0.498762
0.128711,0.457525
0.162544,0.440814
0.183161,0.441369
0.181173,0.450497
0.148897,0.423044
0.165662,0.381176
0.167166,0.390166
0.250226,0.49018
0.198065,0.430314
0.188342,0.379625
0.240062,0.413712
0.220283,0.397879
0.227052,0.393055
0.240945,0.398102
0.153832,0.332114
0.184189,0.349129
0.18318,0.334547
0.151862,0.294227
0.142996,0.287629
0.132557,0.260509
0.159803,0.286057
0.178973,0.255698
0.250258,0.320554
0.207544,0.330256
0.234052,0.29372
0.227604,0.255234
0.00814791,0.249133
0.00489626,0.199745
0.0315001,0.207025
0.0454561,0.245534
0.0509459,0.189954
0.0793815,0.202267
0.107086,0.241571
0.0962866,0.209069
0.101544,0.197205
0.122653,0.208095
0.121846,0.192696
0.090874,0.174323
0.097262,0.143299
0.0302721,0.108663
0.0026536,0.0211517
0.014798,0.0168223
0.0316646,0.0407707
0.0321792,0.0390279
0.0573811,0.0358709
0.0683174,0.0865157
0.0790378,0.0662585
0.0936276,0.0730759
0.0959105,0.0913387
0.0986363,0.0816957
0.106949,0.0684696
0.115987,0.0913925
0.0679661,0.0606975
0.0734025,0.0318241
0.0935492,0.0163917
0.15415,0.223418
0.168869,0.232487
0.181583,0.172119
0.173712,0.164386
0.200995,0.241867
0.198453,0.225732
0.196068,0.191482
0.230196,0.195737
0.226343,0.206563
0.194492,0.180687
0.219483,0.186394
0.239119,0.14114
0.166713,0.0754301
0.161833,0.0732182
0.128691,0.0559799
0.145011,0.00358091
0.130194,0.0197239
0.167231,0.0147145
0.201116,0.106115
0.192387,0.0723977
0.237419,0.118467
0.242726,0.112688
0.232644,0.0747737
0.248185,0.085271
0.243408,0.0672355
0.19393,0.0544771
0.198636,0.0315853
0.264437,0.496084
0.266713,0.477095
0.299505,0.443194
0.25745,0.412598
0.312792,0.496957
0.328271,0.44897
0.373235,0.468573
0.36083,0.469278
0.334925,0.39324
0.339034,0.3897
0.372821,0.403548
0.258626,0.319726
0.304348,0.289777
0.283541,0.311185
0.333471,0.346881
0.346486,0.307934
0.343509,0.285474
0.396147,0.496448
0.430216,0.469045
0.43524,0.458306
0.435762,0.437058
0.453561,0.459017
0.462662,0.445007
0.464009,0.445642
0.497914,0.488273
0.494998,0.457802
0.441601,0.424116
0.453355,0.413889
0.470681,0.426828
0.480534,0.398412
0.469489,0.396075
0.481453,0.385404
0.407201,0.344115
0.38981,0.357582
0.390285,0.314193
0.413734,0.309262
0.411131,0.268117
0.408764,0.252516
0.419979,0.262628
0.449285,0.346478
0.463839,0.342107
0.446773,0.289496
0.467998,0.30393
0.46337,0.28876
0.466492,0.287749
0.498988,0.305381
0.282449,0.247374
0.291815,0.231478
0.266126,0.183687
0.302231,0.128981
0.299637,0.149208
0.37445,0.216581
0.36715,0.142405
0.257396,0.108322
0.277562,0.111103
0.260296,0.0743625
0.304551,0.107071
0.301619,0.125542
0.307583,0.0779259
0.25281,0.04913
0.335745,0.121001
0.330739,0.118378
0.34225,0.102027
0.314898,0.0871293
0.355494,0.121937
0.370526,0.0834377
0.372014,0.0891458
0.336019,0.00543271
0.312824,0.0274396
0.368982,0.0590736
0.368633,0.0598043
0.367025,0.0397848
0.373016,0.038915
0.35312,0.0126203
0.345877,0.0133041
0.420039,0.25167
0.421923,0.24473
0.399358,0.152977
0.462392,0.197609
0.454893,0.201807
0.471299,0.240048
0.468,0.184012
0.456342,0.15203
0.43992,0.133862
0.389092,0.127191
0.379391,0.100263
0.419183,0.123534
0.409767,0.0812824
0.390411,0.026523
0.379112,0.0176556
0.418586,0.0612896
0.413133,0.00323237
0.470529,0.122016
0.480389,0.107765
0.497686,0.106739
0.500103,0.0655029
0.480419,0.0284382
0.480607,0.0216747
0.549329,0.999578
0.538929,0.901243
0.574119,0.992578
0.576985,0.978843
0.61767,0.993805
0.548695,0.845877
0.542114,0.874995
0.536895,0.829204
0.521583,0.79962
0.525516,0.799196
0.55076,0.763605
0.593161,0.864653
0.574202,0.814604
0.60721,0.856405
0.601594,0.870448
0.583522,0.804479
0.581487,0.779469
0.581955,0.758639
0.608772,0.809333
0.6217,0.79136
0.616814,0.769646
0.641247,0.956813
0.637584,0.977201
0.635666,0.902476
0.667437,0.904202
0.659213,0.890472
0.675296,0.88469
0.742002,0.97484
0.704634,0.903709
0.720491,0.931148
0.722445,0.918441
0.726201,0.916184
0.631664,0.872121
0.640306,0.854706
0.646234,0.841156
0.67588,0.854813
0.661152,0.850757
0.659478,0.841643
0.665943,0.83035
0.666131,0.814248
0.682734,0.804112
0.749772,0.846757
0.718586,0.766997
0.70353,0.753606
0.743255,0.806889
0.532968,0.695988
0.547581,0.701101
0.558752,0.688639
0.517589,0.660328
0.50275,0.680831
0.5167,0.645428
0.597451,0.637323
0.60172,0.640076
0.612505,0.637103
0.539505,0.567409
0.506608,0.513356
0.562331,0.552468
0.624459,0.587332
0.592041,0.562138
0.650248,0.735243
0.650991,0.665725
0.634039,0.64444
0.670058,0.64656
0.668361,0.634527
0.735012,0.716347
0.722515,0.64613
0.731758,0.628891
0.725094,0.636322
0.628733,0.607468
0.643401,0.596793
0.6418,0.589838
0.63234,0.573559
0.660102,0.621451
0.640235,0.55546
0.62901,0.537906
0.630713,0.529738
0.65898,0.55564
0.696415,0.564997
0.74228,0.612524
0.72856,0.622167
0.745605,0.538144
0.750108,0.999925
0.751861,0.95302
0.786023,0.989807
0.809032,0.957303
0.80661,0.959918
0.754455,0.928463
0.774383,0.918458
0.766467,0.918393
0.750939,0.898507
0.807201,0.895174
0.810735,0.882914
0.812721,0.944755
0.817686,0.890598
0.835938,0.904493
0.841943,0.887825
0.843465,0.884935
0.751261,0.855256
0.772043,0.842312
0.797767,0.828634
0.765995,0.757356
0.80675,0.799918
0.803367,0.775234
0.818561,0.869806
0.856472,0.874542
0.859063,0.85358
0.870567,0.858749
0.845622,0.839768
0.842152,0.800236
0.857438,0.795835
0.898441,0.940299
0.931519,0.979754
0.910971,0.991544
0.913476,0.953766
0.883485,0.932898
0.885208,0.91179
0.890588,0.91617
0.901753,0.924319
0.952201,0.977532
0.978165,0.936354
0.99377,0.937366
0.975211,0.889058
0.914404,0.860896
0.912009,0.796906
0.88497,0.785344
0.998709,0.860983
0.968963,0.855016
0.966351,0.803515
0.99645,0.801763
0.980157,0.76577
0.802023,0.733573
0.758815,0.720668
0.78378,0.673359
0.872401,0.690106
0.821739,0.64719
0.863856,0.681211
0.845825,0.666505
0.774402,0.602653
0.757694,0.622518
0.778483,0.572634
0.759828,0.568502
0.796843,0.598737
0.782273,0.625009
0.811142,0.58748
0.763423,0.508864
0.781154,0.525531
0.777715,0.509714
0.784889,0.555019
0.805492,0.533565
0.807478,0.547287
0.844368,0.590872
0.818707,0.514544
0.827106,0.538799
0.917327,0.721695
0.925994,0.679221
0.943517,0.696016
0.985947,0.688975
0.942756,0.684778
0.956449,0.635236
0.95728,0.636154
0.994669,0.682942
0.99639,0.642398
0.98677,0.649235
0.903818,0.616473
0.900015,0.61748
0.893149,0.600083
0.931163,0.577318
0.907191,0.594417
0.892528,0.554182
0.934781,0.512485
0.916225,0.524514
0.938321,0.571785
0.991246,0.604816
0.985934,0.587686
0.9561,0.562763
0.942201,0.55033
0.989945,0.525798
0.518724,0.414005
0.514723,0.427407
0.560959,0.423721
0.547258,0.382611
0.586699,0.485325
0.617776,0.488679
0.611322,0.446569
0.578697,0.437079
0.581885,0.380793
0.568044,0.394826
0.609203,0.418462
0.622877,0.403752
0.502205,0.268958
0.505611,0.268798
0.52151,0.282053
0.533931,0.286755
0.592465,0.351048
0.619529,0.351154
0.570296,0.305323
0.566983,0.290998
0.6009,0.294867
0.610958,0.30482
0.620883,0.290927
0.624124,0.263809
0.64743,0.477714
0.636424,0.46508
0.679736,0.494478
0.682774,0.444454
0.628419,0.43153
0.645562,0.422133
0.644134,0.385395
0.661544,0.424646
0.685913,0.428848
0.67841,0.424666
0.666602,0.405737
0.658181,0.380493
0.664264,0.391156
0.670177,0.382201
0.685705,0.385306
0.74064,0.486238
0.743293,0.452604
0.747339,0.461687
0.742165,0.424901
0.699506,0.420499
0.630474,0.369703
0.632133,0.357535
0.632272,0.34889
0.63958,0.359154
0.671024,0.362211
0.64417,0.261087
0.6594,0.285457
0.664779,0.302297
0.673932,0.256659
0.685174,0.266043
0.749002,0.35221
0.6982,0.363599
0.693054,0.302123
0.74295,0.255191
0.731217,0.269393
0.535655,0.208874
0.501547,0.183483
0.518916,0.161749
0.528539,0.165246
0.536736,0.157647
0.535322,0.136539
0.572062,0.229163
0.563144,0.224011
0.587798,0.248417
0.586226,0.249205
0.573494,0.20876
0.608669,0.251293
0.603773,0.207817
0.612579,0.175961
0.594071,0.139698
0.594655,0.147719
0.547612,0.106048
0.54111,0.0831415
0.534917,0.0795137
0.521656,0.0551135
0.500383,0.00917606
0.540805,0.00634845
0.593044,0.0704082
0.56296,0.0759869
0.601421,0.096233
0.591331,0.0451478
0.611602,0.0434576
0.623998,0.012844
0.639928,0.222663
0.626288,0.206546
0.644325,0.219601
0.641623,0.194675
0.683956,0.227114
0.64503,0.189839
0.625464,0.153395
0.636498,0.145396
0.679415,0.133447
0.699654,0.211597
0.713574,0.180334
0.709734,0.160149
0.708513,0.166277
0.699252,0.129709
0.717031,0.150672
0.741735,0.185579
0.748939,0.158256
0.728819,0.137287
0.647166,0.0707362
0.646425,0.0695605
0.654428,0.0686039
0.677062,0.0674862
0.665007,0.0917434
0.649953,0.0543892
