rectCenterX,rectCenterY,rectWidth,rectHeight
0.496393,0.492796,0.978931,0.972852
0.25166,0.736009,0.489466,0.486426
0.129294,0.857615,0.244733,0.243213
0.0681104,0.918419,0.122366,0.121607
0.0681104,0.796812,0.122366,0.121607
0.190477,0.918419,0.122366,0.121607
0.159885,0.94882,0.0611832,0.0608032
0.159885,0.888017,0.0611832,0.0608033
0.221068,0.94882,0.0611832,0.0608032
0.221068,0.888017,0.0611832,0.0608033
0.190477,0.796812,0.122366,0.121607
0.129294,0.614402,0.244733,0.243213
0.0681104,0.675205,0.122366,0.121607
0.0375188,0.705607,0.0611832,0.0608032
0.0375188,0.644804,0.0611832,0.0608033
0.098702,0.705607,0.0611832,0.0608032
0.098702,0.644804,0.0611832,0.0608033
0.0681104,0.553599,0.122366,0.121606
0.190477,0.675205,0.122366,0.121607
0.190477,0.553599,0.122366,0.121606
0.159885,0.584001,0.0611832,0.0608032
0.159885,0.523197,0.0611832,0.0608033
0.221068,0.584001,0.0611832,0.0608032
0.221068,0.523197,0.0611832,0.0608033
0.374026,0.857615,0.244733,0.243213
0.312843,0.918419,0.122366,0.121607
0.312843,0.796812,0.122366,0.121607
0.43521,0.918419,0.122366,0.121607
0.43521,0.796812,0.122366,0.121607
0.374026,0.614402,0.244733,0.243213
0.312843,0.675205,0.122366,0.121607
0.312843,0.553599,0.122366,0.121606
0.43521,0.675205,0.122366,0.121607
0.43521,0.553599,0.122366,0.121606
0.25166,0.249583,0.489466,0.486426
0.129294,0.371189,0.244733,0.243213
0.0681104,0.431992,0.122366,0.121607
0.0681104,0.310386,0.122366,0.121607
0.190477,0.431992,0.122366,0.121607
0.190477,0.310386,0.122366,0.121607
0.129294,0.127976,0.244733,0.243213
0.0681104,0.188779,0.122366,0.121607
0.0681104,0.0671728,0.122366,0.121607
0.190477,0.188779,0.122366,0.121607
0.190477,0.0671728,0.122366,0.121607
0.374026,0.371189,0.244733,0.243213
0.312843,0.431992,0.122366,0.121607
0.312843,0.310386,0.122366,0.121607
0.43521,0.431992,0.122366,0.121607
