pointX,pointY
-3.01486,1.46485
-1.94264,0.41959
-1.88769,0.0586656
-1.00418,1.44165
-1.07793,1.2718
-0.971215,0.923832
-0.875533,0.829224
-1.39898,0.0816858
-1.41334,0.0565797
-0.892303,0.0968679
-0.902862,-0.121825
-1.10441,-0.152298
-0.60517,0.86927
-0.579788,0.789402
-0.759087,0.558669
-0.463341,0.878373
-0.249339,0.761064
-0.22033,0.721868
-0.356154,0.423371
-0.174672,0.607266
-0.604631,-0.00434185
-0.567019,-0.0797872
-0.380913,0.0953527
-0.32339,0.0920573
-0.196318,0.0124698
-0.224935,-0.198487
-1.90467,-0.929799
-2.74644,-0.855942
-1.31257,-0.328798
-0.927729,-0.816447
-0.988539,-0.899886
-1.10547,-1.18066
-1.10264,-1.19678
-0.548562,-0.332781
-0.521399,-0.855006
-0.644515,-1.11511
-0.167264,-0.886326
-1.13733,-1.68908
-0.379065,-1.45248
-0.4992,-1.52787
-0.330773,-2.48049
0.330735,1.58331
0.165166,1.22098
0.870437,1.50826
1.27684,1.01515
1.29356,0.985645
0.0737215,0.700253
-0.0965694,0.712956
0.366342,0.499666
0.252308,0.518687
0.303652,0.492902
0.488173,0.599271
0.547595,0.373347
-0.0118194,0.26231
-0.0264348,0.172723
0.11082,0.228509
0.0732727,0.156415
0.493315,0.160919
0.299062,0.298427
0.266466,-0.0263331
0.247633,0.0265615
0.653421,0.834913
1.09025,0.795257
1.0702,0.644122
1.24585,0.887763
1.24763,0.800579
1.23167,0.427713
0.708502,0.296413
0.772955,0.291325
0.674654,-0.20059
1.00463,0.0512923
1.39461,1.07142
1.34772,1.04847
2.66806,2.05787
1.48381,0.28881
1.5889,-0.15218
1.99216,0.0994554
2.19558,0.679493
2.7318,0.032773
0.143059,-0.447762
0.119088,-0.716599
0.301798,-0.304901
0.542903,-0.46339
0.451887,-0.406605
0.477133,-0.662672
0.239938,-0.649514
0.118519,-1.24633
0.727641,-0.347521
0.603988,-0.481944
0.874576,-0.541698
1.01794,-0.535424
1.19491,-0.794135
-0.00933208,-2.17718
0.669952,-1.88404
0.657867,-2.33415
1.47002,-0.372521
1.71685,-0.843417
2.36766,-0.476232
2.36768,-0.990204
2.32955,-0.984611
