rectCenterX,rectCenterY,rectWidth,rectHeight
-0.141532,-0.211305,5.74666,4.53836
-1.5782,0.923285,2.87333,2.26918
-2.29653,1.49058,1.43666,1.13459
-2.29653,0.35599,1.43666,1.13459
-0.859864,1.49058,1.43666,1.13459
-1.21903,1.77423,0.718332,0.567295
-1.21903,1.20693,0.718332,0.567295
-1.39861,1.34876,0.359166,0.283648
-1.39861,1.06511,0.359166,0.283647
-1.03945,1.34876,0.359166,0.283648
-1.03945,1.06511,0.359166,0.283647
-0.500698,1.77423,0.718332,0.567295
-0.500698,1.20693,0.718332,0.567295
-0.859864,0.35599,1.43666,1.13459
-1.21903,0.639637,0.718332,0.567295
-1.21903,0.072342,0.718332,0.567295
-1.39861,0.214166,0.359166,0.283648
-1.39861,-0.0694817,0.359166,0.283648
-1.03945,0.214166,0.359166,0.283648
-1.03945,-0.0694817,0.359166,0.283648
-0.500698,0.639637,0.718332,0.567295
-0.680281,0.781461,0.359166,0.283648
-0.680281,0.497813,0.359166,0.283648
-0.321115,0.781461,0.359166,0.283648
-0.410906,0.852373,0.179583,0.141824
-0.410906,0.710549,0.179583,0.141824
-0.231323,0.852373,0.179583,0.141824
-0.231323,0.710549,0.179583,0.141824
-0.321115,0.497813,0.359166,0.283648
-0.500698,0.072342,0.718332,0.567295
-0.680281,0.214166,0.359166,0.283648
-0.680281,-0.0694817,0.359166,0.283648
-0.321115,0.214166,0.359166,0.283648
-0.321115,-0.0694817,0.359166,0.283648
-1.5782,-1.3459,2.87333,2.26918
-2.29653,-0.778601,1.43666,1.13459
-2.29653,-1.91319,1.43666,1.13459
-0.859864,-0.778601,1.43666,1.13459
-1.21903,-0.494953,0.718332,0.567295
-1.21903,-1.06225,0.718332,0.567295
-1.39861,-0.920424,0.359166,0.283647
-1.39861,-1.20407,0.359166,0.283648
-1.03945,-0.920424,0.359166,0.283647
-1.03945,-1.20407,0.359166,0.283648
-0.500698,-0.494953,0.718332,0.567295
-0.500698,-1.06225,0.718332,0.567295
-0.680281,-0.920424,0.359166,0.283647
-0.680281,-1.20407,0.359166,0.283648
-0.321115,-0.920424,0.359166,0.283647
-0.321115,-1.20407,0.359166,0.283648
-0.859864,-1.91319,1.43666,1.13459
-1.21903,-1.62954,0.718332,0.567295
-1.21903,-2.19684,0.718332,0.567295
-0.500698,-1.62954,0.718332,0.567295
-0.500698,-2.19684,0.718332,0.567295
1.29513,0.923285,2.87333,2.26918
0.5768,1.49058,1.43666,1.13459
0.217634,1.77423,0.718332,0.567295
0.217634,1.20693,0.718332,0.567295
0.935966,1.77423,0.718332,0.567295
0.935966,1.20693,0.718332,0.567295
0.5768,0.35599,1.43666,1.13459
0.217634,0.639637,0.718332,0.567295
0.038051,0.781461,0.359166,0.283648
0.038051,0.497813,0.359166,0.283648
0.397217,0.781461,0.359166,0.283648
0.397217,0.497813,0.359166,0.283648
0.307425,0.568725,0.179583,0.141824
0.307425,0.426901,0.179583,0.141824
0.487009,0.568725,0.179583,0.141824
0.487009,0.426901,0.179583,0.141824
0.217634,0.072342,0.718332,0.567295
0.038051,0.214166,0.359166,0.283648
-0.0517405,0.285078,0.179583,0.141824
-0.0517405,0.143254,0.179583,0.141824
0.127843,0.285078,0.179583,0.141824
0.127843,0.143254,0.179583,0.141824
0.038051,-0.0694817,0.359166,0.283648
0.397217,0.214166,0.359166,0.283648
0.397217,-0.0694817,0.359166,0.283648
0.935966,0.639637,0.718332,0.567295
0.756383,0.781461,0.359166,0.283648
0.756383,0.497813,0.359166,0.283648
1.11555,0.781461,0.359166,0.283648
1.02576,0.852373,0.179583,0.141824
1.02576,0.710549,0.179583,0.141824
1.20534,0.852373,0.179583,0.141824
1.20534,0.710549,0.179583,0.141824
1.11555,0.497813,0.359166,0.283648
0.935966,0.072342,0.718332,0.567295
0.756383,0.214166,0.359166,0.283648
0.756383,-0.0694817,0.359166,0.283648
1.11555,0.214166,0.359166,0.283648
1.11555,-0.0694817,0.359166,0.283648
2.01346,1.49058,1.43666,1.13459
1.6543,1.77423,0.718332,0.567295
1.6543,1.20693,0.718332,0.567295
2.37263,1.77423,0.718332,0.567295
2.37263,1.20693,0.718332,0.567295
2.01346,0.35599,1.43666,1.13459
1.6543,0.639637,0.718332,0.567295
1.6543,0.072342,0.718332,0.567295
1.47471,0.214166,0.359166,0.283648
1.47471,-0.0694817,0.359166,0.283648
1.83388,0.214166,0.359166,0.283648
1.83388,-0.0694817,0.359166,0.283648
2.37263,0.639637,0.718332,0.567295
2.37263,0.072342,0.718332,0.567295
1.29513,-1.3459,2.87333,2.26918
0.5768,-0.778601,1.43666,1.13459
0.217634,-0.494953,0.718332,0.567295
0.038051,-0.353129,0.359166,0.283648
0.038051,-0.636777,0.359166,0.283648
0.397217,-0.353129,0.359166,0.283648
