pointX,pointY
0.0169618,0.942877
0.0264245,0.876672
0.0171747,0.897237
0.0855587,0.995488
0.126515,0.9546
0.0757902,0.878332
0.0698122,0.886969
0.0495341,0.817373
0.1691,0.994876
0.196973,0.993987
0.188406,0.8882
0.210249,0.88077
0.0843753,0.740778
0.0123768,0.595604
0.01677,0.505959
0.0503331,0.547732
0.0526427,0.501612
0.242522,0.654574
0.175134,0.525502
0.223689,0.585742
0.293292,0.902013
0.341286,0.798187
0.421557,0.916368
0.492199,0.763022
0.342144,0.650028
0.304835,0.556863
0.257379,0.597425
0.443251,0.637291
0.393306,0.583345
0.00464753,0.481632
0.0126708,0.44516
0.189468,0.440285
0.188875,0.358974
0.23661,0.329374
0.12193,0.129895
0.123622,0.0602586
0.0266026,0.00554953
0.144248,0.0598658
0.198335,0.000418131
0.267924,0.437721
0.313575,0.444023
0.281006,0.301492
0.453619,0.332145
0.335602,0.2051
0.299392,0.0407559
0.352149,0.0983612
0.335733,0.0156131
0.312584,0.0128695
0.352716,0.00966736
0.468974,0.182448
0.604111,0.955599
0.537299,0.997626
0.695879,0.975389
0.539479,0.690286
0.523523,0.626441
0.547987,0.589694
0.533121,0.50023
0.529087,0.504097
0.674093,0.64747
0.746649,0.972357
0.824808,0.937909
0.788054,0.798831
0.746737,0.827185
0.912144,0.998311
0.808677,0.725805
0.812937,0.745438
0.764657,0.608443
0.74981,0.564253
0.830111,0.509254
0.968239,0.671788
0.959214,0.578754
0.517664,0.39413
0.548932,0.404879
0.589227,0.45296
0.550267,0.287215
0.643337,0.427684
0.688965,0.256782
0.639074,0.335915
0.567837,0.15654
0.552163,0.169112
0.598001,0.116629
0.658552,0.185983
0.645698,0.155604
0.697916,0.173886
0.815568,0.278513
0.972925,0.497034
0.955031,0.409858
0.982691,0.412972
0.887073,0.277804
0.881486,0.273138
0.924785,0.31425
0.770444,0.200796
0.767349,0.239045
0.782935,0.146846
0.794455,0.0737381
0.744468,0.00738067
0.843742,0.0156321
0.969684,0.201872
0.955235,0.150006
0.868202,0.0101748
