rectCenterX,rectCenterY,rectWidth,rectHeight
0.493669,0.499365,0.978043,0.997893
0.249158,0.748838,0.489022,0.498947
0.126903,0.873575,0.244511,0.249473
0.0657753,0.935943,0.122255,0.124737
0.0352114,0.967127,0.0611277,0.0623683
0.0352114,0.904759,0.0611277,0.0623683
0.0963391,0.967127,0.0611277,0.0623683
0.0963391,0.904759,0.0611277,0.0623683
0.0657753,0.811206,0.122255,0.124737
0.188031,0.935943,0.122255,0.124737
0.157467,0.967127,0.0611277,0.0623683
0.157467,0.904759,0.0611277,0.0623683
0.218595,0.967127,0.0611277,0.0623683
0.218595,0.904759,0.0611277,0.0623683
0.188031,0.811206,0.122255,0.124737
0.126903,0.624101,0.244511,0.249473
0.0657753,0.68647,0.122255,0.124737
0.0657753,0.561733,0.122255,0.124737
0.0352114,0.592917,0.0611277,0.0623683
0.0352114,0.530549,0.0611277,0.0623683
0.0199295,0.546141,0.0305639,0.0311842
0.0199295,0.514957,0.0305639,0.0311841
0.0504933,0.546141,0.0305639,0.0311842
0.0504933,0.514957,0.0305639,0.0311841
0.0963391,0.592917,0.0611277,0.0623683
0.0963391,0.530549,0.0611277,0.0623683
0.188031,0.68647,0.122255,0.124737
0.188031,0.561733,0.122255,0.124737
0.371414,0.873575,0.244511,0.249473
0.310286,0.935943,0.122255,0.124737
0.310286,0.811206,0.122255,0.124737
0.432542,0.935943,0.122255,0.124737
0.432542,0.811206,0.122255,0.124737
0.371414,0.624101,0.244511,0.249473
0.310286,0.68647,0.122255,0.124737
0.310286,0.561733,0.122255,0.124737
0.432542,0.68647,0.122255,0.124737
0.432542,0.561733,0.122255,0.124737
0.249158,0.249891,0.489022,0.498947
0.126903,0.374628,0.244511,0.249473
0.0657753,0.436996,0.122255,0.124737
0.0657753,0.31226,0.122255,0.124737
0.188031,0.436996,0.122255,0.124737
0.188031,0.31226,0.122255,0.124737
0.126903,0.125155,0.244511,0.249473
0.0657753,0.187523,0.122255,0.124737
0.0657753,0.0627865,0.122255,0.124737
0.188031,0.187523,0.122255,0.124737
0.188031,0.0627865,0.122255,0.124737
0.371414,0.374628,0.244511,0.249473
0.310286,0.436996,0.122255,0.124737
0.310286,0.31226,0.122255,0.124737
0.432542,0.436996,0.122255,0.124737
0.432542,0.31226,0.122255,0.124737
0.371414,0.125155,0.244511,0.249473
0.310286,0.187523,0.122255,0.124737
0.310286,0.0627865,0.122255,0.124737
0.279722,0.0939706,0.0611277,0.0623683
0.279722,0.0316023,0.0611277,0.0623683
0.34085,0.0939706,0.0611277,0.0623683
0.34085,0.0316023,0.0611277,0.0623683
0.325568,0.0471944,0.0305639,0.0311842
0.325568,0.0160102,0.0305639,0.0311842
0.356132,0.0471944,0.0305639,0.0311842
0.356132,0.0160102,0.0305639,0.0311842
0.432542,0.187523,0.122255,0.124737
0.432542,0.0627865,0.122255,0.124737
0.73818,0.748838,0.489022,0.498947
0.615925,0.873575,0.244511,0.249473
0.554797,0.935943,0.122255,0.124737
0.554797,0.811206,0.122255,0.124737
0.677052,0.935943,0.122255,0.124737
0.677052,0.811206,0.122255,0.124737
0.615925,0.624101,0.244511,0.249473
0.554797,0.68647,0.122255,0.124737
0.554797,0.561733,0.122255,0.124737
0.524233,0.592917,0.0611277,0.0623683
0.524233,0.530549,0.0611277,0.0623683
0.585361,0.592917,0.0611277,0.0623683
0.585361,0.530549,0.0611277,0.0623683
0.677052,0.68647,0.122255,0.124737
0.677052,0.561733,0.122255,0.124737
0.860436,0.873575,0.244511,0.249473
0.799308,0.935943,0.122255,0.124737
0.799308,0.811206,0.122255,0.124737
0.921563,0.935943,0.122255,0.124737
0.921563,0.811206,0.122255,0.124737
0.860436,0.624101,0.244511,0.249473
0.799308,0.68647,0.122255,0.124737
0.799308,0.561733,0.122255,0.124737
0.768744,0.592917,0.0611277,0.0623683
0.768744,0.530549,0.0611277,0.0623683
0.829872,0.592917,0.0611277,0.0623683
0.829872,0.530549,0.0611277,0.0623683
0.921563,0.68647,0.122255,0.124737
0.921563,0.561733,0.122255,0.124737
0.73818,0.249891,0.489022,0.498947
0.615925,0.374628,0.244511,0.249473
0.554797,0.436996,0.122255,0.124737
0.524233,0.468181,0.0611277,0.0623683
0.524233,0.405812,0.0611277,0.0623683
0.585361,0.468181,0.0611277,0.0623683
0.585361,0.405812,0.0611277,0.0623683
0.554797,0.31226,0.122255,0.124737
0.677052,0.436996,0.122255,0.124737
0.677052,0.31226,0.122255,0.124737
0.615925,0.125155,0.244511,0.249473
0.554797,0.187523,0.122255,0.124737
0.554797,0.0627865,0.122255,0.124737
0.677052,0.187523,0.122255,0.124737
0.646489,0.218707,0.0611277,0.0623683
0.646489,0.156339,0.0611277,0.0623683
0.707616,0.218707,0.0611277,0.0623683
0.707616,0.156339,0.0611277,0.0623683
0.677052,0.0627865,0.122255,0.124737
0.860436,0.374628,0.244511,0.249473
0.799308,0.436996,0.122255,0.124737
0.799308,0.31226,0.122255,0.124737
0.921563,0.436996,0.122255,0.124737
0.890999,0.468181,0.0611277,0.0623683
0.890999,0.405812,0.0611277,0.0623683
0.952127,0.468181,0.0611277,0.0623683
0.952127,0.405812,0.0611277,0.0623683
0.921563,0.31226,0.122255,0.124737
0.890999,0.343444,0.0611277,0.0623683
0.890999,0.281076,0.0611277,0.0623683
0.952127,0.343444,0.0611277,0.0623683
0.952127,0.281076,0.0611277,0.0623683
0.860436,0.125155,0.244511,0.249473
0.799308,0.187523,0.122255,0.124737
0.768744,0.218707,0.0611277,0.0623683
0.768744,0.156339,0.0611277,0.0623683
0.829872,0.218707,0.0611277,0.0623683
0.829872,0.156339,0.0611277,0.0623683
0.799308,0.0627865,0.122255,0.124737
0.768744,0.0939706,0.0611277,0.0623683
0.768744,0.0316023,0.0611277,0.0623683
0.829872,0.0939706,0.0611277,0.0623683
0.829872,0.0316023,0.0611277,0.0623683
0.921563,0.187523,0.122255,0.124737
0.921563,0.0627865,0.122255,0.124737
